#,Name,MLBAMID,Last,First,Lastv2,Firstv2,YahooName
1461,Tyler Locklear,682988,Locklear,Tyler,Locklear,Tyler,Tyler Locklear
1462,Victor Mederos,682989,Mederos,Victor,Mederos,Victor,Victor Mederos
1463,Quinn Priester,682990,Priester,Quinn,Priester,Quinn,Quinn Priester
1464,Tyler Callihan,682997,Callihan,Tyler,Callihan,Tyler,Tyler Callihan
1465,Corbin Carroll,682998,Carroll,Corbin,Carroll,Corbin,Corbin Carroll
1466,Gunnar Henderson,683002,Henderson,Gunnar,Henderson,Gunnar,Gunnar Henderson
1467,Jared Jones,683003,Jones,Jared,Jones,Jared,Jared Jones
1468,Jack Leiter,683004,Leiter,Jack,Leiter,Jack,Jack Leiter
1469,Anthony Volpe,683011,Volpe,Anthony,Volpe,Anthony,Anthony Volpe
1470,Michael Stefanic,683021,Stefanic,Michael,Stefanic,Michael,Michael Stefanic
1471,Alexander Vargas,683061,Vargas,Alexander,Vargas,Alexander,
1472,Zach Penrod,683068,Penrod,Zach,Penrod,Zach,Zach Penrod
1473,Nasim Nunez,683083,Nunez,Nasim,Nuñez,Nasim,Nasim Nuñez
1474,Matthew Lugo,683090,Lugo,Matthew,Lugo,Matthew,Matthew Lugo
1475,Brett Baty,683146,Baty,Brett,Baty,Brett,Brett Baty
1476,Joey Estes,683155,Estes,Joey,Estes,Joey,Joey Estes
1477,Connor Phillips,683175,Phillips,Connor,Phillips,Connor,Connor Phillips
1478,Nick Mears,683232,Mears,Nick,Mears,Nick,Nick Mears
1479,Owen Caissie,683357,Caissie,Owen,Caissie,Owen,
1480,Angel Chivilli,683409,Chivilli,Angel,Chivilli,Angel,Angel Chivilli
1481,Oscar Hernandez,683427,Hernandez,Oscar,Hernandez,Oscar,
1482,Jairo Iriarte,683568,Iriarte,Jairo,Iriarte,Jairo,Jairo Iriarte
